ISO3,Gini_Index,Wealth_Top10_Share,Corruption_Control,Poverty_Rate,Child_Poverty_Rate,House_Price_to_Income,Household_Debt_to_Income,Unemployment_Rate,Edu_Pub_Exp_GDP,Health_OOP_Perc,Suicide_Rate,Family_Trust_Raw,Family_Importance_Raw,One_Person_HH_Perc,Infant_Mortality_Rate,Homicide_Rate
ABW,,61.73928571428571,0.793630100786685,,,,,,3.61855755636695,,,,,21.37,,
AFE,,,,,,,,7.995580761742694,3.962931640257626,15.65020990033324,,,,,39.02981869812648,12.4
AFG,,58.11857142857143,-1.2040903121233,,,,,13.4835,,76.98007964749999,,,,0.1699999999999999,51.8125,5.305283702370855
AFW,,,,,,,,3.751906586096677,3.142690388639044,59.96345077129256,,,,,55.02921941073873,12.45
AGO,,66.77285714285715,-0.6561211645603177,,,,,14.980125,2.473288591623665,28.034912585,,,,7.35,39.45,
AIA,,61.73857142857143,,,,,,,,,,,,,,
ALB,29.4,56.96142857142858,-0.411996468901634,0.3,,,,10.48375,3.0195325314998587,55.405352595,,,1.045682730923695,6.39,8.2625,1.6729381158177552
AND,,57.19428571428572,1.261388778686524,,,,,,2.237916505493048,10.56266653375,,,1.127553562531141,,2.575,2.58464719565779
ARB,,,,,,,,10.056000148891638,3.768607406701935,25.428521501656743,,,,,26.566871856977723,
ARE,,61.90642857142857,1.1049866080284112,,,,,2.718375,3.93910503387451,11.56373167,2.14643686,,,,4.1875,0.6309640745238423
ARG,42.0125,58.72857142857144,-0.3655182402580976,1.375,,,,7.295375,5.388281417584522,24.8745484325,6.4893977,1.165165165165165,1.1153364632237872,15.882857142857144,8.325,4.571209989577092
ARM,27.2,58.13642857142858,0.0418278262077364,1.875,,,,14.17275,2.526501208543777,78.6714954375,1.4030564375,,1.0960779763286146,12.02375,9.2625,2.5059563838971517
ASM,,,1.261388778686524,,,,,,,,,,,,,
ATG,,61.73000000000002,0.2999416589736938,,,,,,2.8677173203010184,23.28364468,1.0228853,,,,7.4625,11.4415454158118
AUS,33.8,57.240000000000016,1.7492404133081436,1.0,13.3,101.39266929507944,198.4771428571429,4.2125,5.211415171623232,14.8223459725,11.130698125,,1.0984555984555984,24.35,3.1500000000000004,0.837370481554836
AUT,30.8875,61.095,1.2215279191732402,0.55,13.8,106.91702540280626,71.62857142857142,5.3375,5.40382254123688,16.091603276249998,9.335877,,,32.263333333333335,2.6875,0.8376567535583839
AZE,,57.85214285714287,-1.0987083315849309,,,,,5.8905,3.5979912579059588,63.198825835,,,1.1356498496491814,6.4175,13.975,2.008802866348856
BDI,37.5,60.01857142857142,-1.5529416203498865,74.2,,,,0.95775,5.0963634036555305,23.51834917,,,,5.21,32.3375,
BEL,26.575000000000003,51.877857142857145,1.4047910869121538,0.0625,12.9,99.89730136931728,97.85857142857142,5.630625,6.422940015792847,19.014966965,11.610565,,,31.73,3.075,1.08030153549307
BEN,34.4,61.377142857142864,-0.0735691599547862,27.2,,,,1.659875,3.138676514743164,45.1091260925,,,,10.98,47.5625,
BES,,61.74,,,,,,,,,,,,,,
BFA,37.4,61.03500000000002,-0.1383058670908209,42.1,,,,5.30125,5.295008117924279,34.6313142775,,,1.0581319399085565,5.458,45.925,
BGD,30.9,58.49428571428572,-1.0781483128666889,5.9,,,,4.720625,2.1412473190472765,73.00606536500001,,,1.0390717499408004,2.268666666666667,24.475,
BGR,39.2375,58.35214285714287,-0.1809725463390351,1.0125,,102.22854757920138,,4.525499999999999,4.548597574234007,34.851470947500005,5.100573325000001,,1.1256062075654705,25.8825,5.1,1.1089658657115975
BHR,,67.37500000000001,0.1302105747163293,,,,,1.32375,1.86051846684744,24.72309303,,,,,7.025,0.1526202204792492
BHS,,63.59500000000001,1.2298976182937638,,,,,9.521875,2.8720540982812013,24.1034464825,,,,17.73,11.5375,28.214812902471877
BIH,,57.03428571428573,-0.6255057975649836,,,,,12.343875,3.2598279585082137,30.3362965575,,,1.0225281602002505,13.233333333333334,5.4625,1.1714396322219098
BLM,,,,,,,,,,,,,,23.43,,
BLR,24.4,56.90071428571428,-0.5265362039208414,0.0,,,,3.617625,4.816428720951081,25.482563975,,,1.1829639287266407,26.98125,1.9875,
BLZ,,64.89714285714285,-0.237707082182169,,,,,8.9625,4.663756191730499,24.0384035125,7.82272625,,,15.333333333333334,10.8875,28.458489113930625
