ISO3,Year,Literacy_Rate,Hospital_Beds_Per_1000,Physicians_Per_1000,Health_Exp_Per_Capita,Infant_Mortality_Rate,Life_Expectancy
ABW,1960,,,,,,64.049
ABW,1961,,,,,,64.215
ABW,1962,,,,,,64.602
ABW,1963,,,,,,64.944
ABW,1964,,,,,,65.303
ABW,1965,,,,,,65.615
ABW,1966,,,,,,66.126
ABW,1967,,,,,,66.385
ABW,1968,,,,,,66.744
ABW,1969,,,,,,67.098
ABW,1970,,,,,,67.44
ABW,1971,,,,,,67.783
ABW,1972,,,,,,68.335
ABW,1973,,,,,,68.862
ABW,1974,,,,,,69.278
ABW,1975,,,,,,69.564
ABW,1976,,,,,,69.808
ABW,1977,,,,,,70.054
ABW,1978,,,,,,70.271
ABW,1979,,,,,,70.507
ABW,1980,,,,,,70.771
ABW,1981,,,,,,71.344
ABW,1982,,,,,,71.485
ABW,1983,,,,,,71.606
ABW,1984,,,,,,71.711
ABW,1985,,,,,,71.792
ABW,1986,,,,,,71.831
ABW,1987,,,,,,72.448
ABW,1988,,,,,,72.519
ABW,1989,,,,,,72.531
ABW,1990,,,,,,72.546
ABW,1991,,,,,,72.592
ABW,1992,,,,,,72.717
ABW,1993,,,,,,72.777
ABW,1994,,,,,,72.796
ABW,1995,,,1.12,,,72.832
ABW,1996,,,,,,72.856
ABW,1997,,,,,,72.904
ABW,1998,,,,,,72.94
ABW,1999,,,,,,72.857
ABW,2000,97.2900009155273,,,,,72.939
ABW,2001,,,,,,73.044
ABW,2002,,,,,,73.135
ABW,2003,,,,,,73.236
ABW,2004,,,,,,73.223
ABW,2005,,,,,,73.415
ABW,2006,,,,,,73.498
ABW,2007,,,,,,73.642
ABW,2008,,,,,,73.783
ABW,2009,,,,,,73.974
ABW,2010,96.8199996948242,,,,,74.297
ABW,2011,,,,,,74.578
ABW,2012,,,,,,74.841
ABW,2013,,,,,,75.072
ABW,2014,,,,,,75.261
ABW,2015,,,,,,75.405
ABW,2016,,,,,,75.54
ABW,2017,,,,,,75.62
ABW,2018,,,,,,75.88
ABW,2019,,,,,,76.019
ABW,2020,,,,,,75.406
ABW,2021,,,,,,73.655
ABW,2022,,,,,,76.226
ABW,2023,,,,,,76.353
AFE,1960,,1.973383484714908,,,,44.169658253166034
AFE,1961,,,,,,44.46883833625744
AFE,1962,,,,,,44.87788992764365
AFE,1963,,,,,,45.160582805882974
AFE,1964,,,,,,45.5356954673738
AFE,1965,,,,,,45.770722923355166
AFE,1966,,,,,,45.7657253575752
AFE,1967,,,,,,46.44074541643187
AFE,1968,,,,,,46.73863174696029
AFE,1969,,,,,,46.977475702472034
AFE,1970,,1.7259420477627254,,,,47.24800568073953
AFE,1971,,,,,,47.464015659150455
AFE,1972,,,,,,47.166792282710624
AFE,1973,,,,,,47.746607924016764
AFE,1974,,,,,,47.74432776397971
AFE,1975,,,,,,47.96854805476745
AFE,1976,,,,,,48.56813819828204
AFE,1977,,,,,,48.86072488566633
AFE,1978,,,,,,48.98391671335207
AFE,1979,,,,,,49.41698838473511
AFE,1980,,,,,,49.81671313805198
AFE,1981,,,,,,50.02049329675216
AFE,1982,,,,,,50.29082937972053
AFE,1983,,,,,,48.90409565657024
AFE,1984,,,,,,48.99795867025365
AFE,1985,,,,,,49.39290246408778
AFE,1986,,,,,,50.00976149891163
AFE,1987,56.8461494445801,,,,,51.06894293209706
AFE,1988,57.2477493286133,,,,,50.87660706149465
AFE,1989,57.6048393249512,,,,,51.265873514076254
AFE,1990,58.1498794555664,1.0118767942661353,0.1622325260687913,,100.89184844312418,51.09632645430471
AFE,1991,58.1818313598633,,,,103.97974212384676,50.87324360639456
AFE,1992,58.4592208862305,,,,103.35909507990866,50.71594604789205
AFE,1993,58.884578704834,,,,98.50249468564036,51.07376191337756
AFE,1994,59.3387413024902,,,,99.24624039027752,50.96658879564646
AFE,1995,59.8654403686523,,,,95.75241257366096,51.48205668133573
AFE,1996,60.3634490966797,,,,94.25058264729368,51.353189836073774
AFE,1997,61.0568313598633,,,,92.606935368313,51.57088651714292
AFE,1998,61.2734794616699,,,,92.2812231146882,51.31795547213679
AFE,1999,62.1533317565918,,,,87.94415319054235,51.807077244986765
AFE,2000,62.666618347168,,,42.6864155481713,85.20273915974796,52.55734186267767
AFE,2001,63.1577606201172,,,37.78677237727841,82.1943407373521,52.87553605362866
AFE,2002,63.8376197814941,,,34.967108409350246,78.83785288271527,53.20674433430259
AFE,2003,64.3340606689453,,,50.21832091134638,75.64132219634811,53.67830476858219
AFE,2004,64.5749130249023,,,61.780522169152746,72.72543552006165,54.192927866043405
AFE,2005,63.9414710998535,,,68.61597411484156,69.57137917683256,54.807680713633566
AFE,2006,61.9459114074707,0.8948707069460661,,75.06469054054376,66.26402529367229,55.693515257845256
AFE,2007,62.9699592590332,,,84.0911878928683,63.47449576441903,56.48435317845337
AFE,2008,63.2282295227051,,,86.47887702710682,60.8028072164861,57.24010632287976
AFE,2009,63.9608116149902,,,90.14306945469916,58.5097391916938,58.095527143646336
AFE,2010,64.7143630981445,,0.1041264734203197,104.11964701176343,56.90342417030356,58.82727920628206
AFE,2011,66.8281402587891,,,112.27838166491698,57.8926194287132,59.20000403007008
AFE,2012,68.5151901245117,,,109.06855622088428,53.04177635707261,60.24951235984674
AFE,2013,69.3683166503906,,,104.77671727692044,50.73365786998429,60.895739752772
AFE,2014,69.8328170776367,,,98.49932874518662,50.02710839106765,61.25143601567095
AFE,2015,70.2378387451172,,,90.8005708722338,49.01030452681702,61.713030523494965
AFE,2016,70.9572677612305,,,85.89921737724146,47.773919641872816,62.16798131691992
