ISO3,Country,GDP_Per_Capita,One_Person_HH_Perc
ARG,Argentina,18292.318,15.882857142857144
AUS,Australia,52049.43,24.35
BOL,"Bolivia, Plurinational State of",6481.3906,12.094444444444443
BWA,Botswana,16351.91,21.56714285714286
CAN,Canada,45529.645,27.148000000000003
CHL,Chile,22740.72,10.695
COG,"Congo, Republic of",4187.507,12.0025
COL,Colombia,14468.964,8.19090909090909
CRI,Costa Rica,15496.82,8.638571428571428
DOM,Dominican Republic,17713.52,12.338333333333331
ESP,Spain,34123.387,19.1
GAB,Gabon,15720.901,20.855
GBR,United Kingdom,38406.53,30.05
GHA,Ghana,4242.4106,19.693846153846152
HTI,Haiti,1546.4222,8.911428571428571
JAM,Jamaica,7481.6685,22.71
LBR,Liberia,811.2146,9.756666666666666
LCA,St. Lucia,10452.165,26.79
LSO,Lesotho,2312.9583,15.734285714285717
LTU,Lithuania,30863.32,29.655
MNG,Mongolia,13442.906,6.111666666666667
MOZ,Mozambique,1087.836,9.0525
NIC,Nicaragua,5092.8413,4.08
NLD,Netherlands,49669.867,33.545
PER,Peru,12762.967,10.986923076923077
PRT,Portugal,28992.059,17.23125
RUS,Russian Federation,25437.107,24.075
RWA,Rwanda,2198.0662,7.324285714285715
SGP,Singapore,80320.086,12.166666666666666
SRB,Serbia,17097.686,19.566666666666663
SWZ,Eswatini,8522.45,19.522
SYC,Seychelles,31055.39,15.33
THA,Thailand,16421.072,10.847777777777775
TTO,Trinidad and Tobago,25773.006,16.387777777777778
URY,Uruguay,20181.94,17.7075
USA,United States,58487.465,24.006
ZAF,South Africa,11415.887,20.836666666666662
