Year,Global_Life_Expectancy,Global_Literacy_Rate,Global_Infant_Mortality,Global_Hospital_Beds_Per_1000
1990,64.80491029495428,70.80003964459453,51.85348488463621,4.162548954856245
1991,64.9557456582215,68.7939290531346,51.65168543227972,6.149401484901298
1992,65.0108767851767,68.9465740867283,50.82782379391098,6.520019595242606
1993,65.23541065199467,67.38591541562762,49.06588780608333,5.638528640656688
1994,65.46554237203888,68.07879593061364,48.34593605980224,6.170297036307924
1995,65.7078196050193,70.45327004720998,47.08751312894857,6.390007864164581
1996,65.97447525916625,69.2864532876522,45.958400088265044,5.040256692672775
1997,66.19395996705578,70.53890060796971,44.76422395472054,5.668850506949428
1998,66.30414601710395,68.7671416526617,44.02914079107993,5.469311547554834
1999,66.63666856509246,75.2060063950559,42.19347939724585,5.593054764247506
2000,67.15817858643109,75.27852432902266,40.49886230643577,3.8306025636762975
2001,67.4992645039546,76.50845597395256,39.04529518358049,3.704024102268841
2002,67.79066433410715,75.10389809859426,37.57489272488106,3.807620287925198
2003,68.11843182493054,72.57135597170318,36.04442635983479,3.5560640185326
2004,68.45288298312813,75.49333642658435,34.76019409252402,3.5739614685122136
2005,68.77843223080535,75.91132507599916,33.40096336753552,3.2373991542331577
2006,69.13134227045097,76.06540436414855,32.09789609937435,3.2978937715115775
2007,69.45658931081847,79.08579043922806,30.96428996946508,3.3381689499639156
2008,69.76661725452452,78.73446871353967,29.982040665374825,3.3492486939200745
2009,69.98066627845866,80.32276765819796,29.60182684462936,3.262162761501685
2010,70.39747905954577,80.72785394539565,28.1776655501092,3.1977527622500888
2011,70.72958261956987,82.73455426354165,27.696215233131564,3.1372324222999635
2012,71.0804932443414,80.92747116463454,26.349152757346705,3.337147216269795
2013,71.38180009575457,81.31588369765838,25.519105709979186,3.179242474466332
2014,71.54926514028169,80.11260446264018,25.140477489277927,3.1899572055252854
2015,71.75437923972689,81.3130193058496,24.512476574747637,3.0637771884106773
2016,71.98953086832148,82.97821774177085,23.97827930262121,3.06143799617441
2017,72.15652758895074,82.05050430239518,23.549089646540832,3.124344133035487
2018,72.51350793403202,81.81667440397017,22.509905700780845,3.1599801553247664
2019,72.69543348928448,82.77562266663242,22.08875466249124,3.143524274201704
2020,72.14491065873672,85.45899716677262,21.326704337134714,3.3123482738257106
2021,71.43059081320692,82.46352579866927,20.917180293815633,2.761801166585628
2022,72.79569641509228,83.5289102683169,20.95887258808495,
2023,73.45867638977168,85.39706082703233,19.826372633227155,
