Country,Year,GDP_per_capita,Gini_Index,Population,Dependency_Ratio,Suicide Rate,Institutional_Social_Support,Youth_Social_Support,SinglePerson_HH,SinglePerson_HH.1,SinglePerson_HH.2,Depression_obs,Suicide_Rate,MAC,Births,Time_Social_Interactions,TFR
Denmark,2006,44025.484,25.9,5437420.0,1313.0604832569036,9.310122,95.97601358333333,97.97744863,37.57,37.57,37.57,,9.310122,30.297,64.609,,1.8405
Denmark,2007,44481.47,26.2,5461607.0,1310.8115410725009,8.401507,94.89379118555556,97.97744863,37.57,37.57,37.57,,8.401507,30.412,63.75,,1.8418
Denmark,2008,44246.4,25.2,5493764.0,1399.7994812447396,8.742229,94.65861353777778,97.97744863,37.57,37.57,37.57,,8.742229,30.437,64.435,,1.88
Denmark,2009,42090.17,26.7,5523173.0,1452.9895025359358,8.692344,95.12918654555556,97.97744863,37.57,37.57,37.57,,8.692344,30.489,62.612,,1.8398
Denmark,2010,42932.4,27.2,5547863.0,1510.7848619620593,7.857078,95.36998639666666,97.97744863,37.57,37.57,37.57,,7.857078,30.583,62.763,,1.8582
Denmark,2011,43575.0,27.3,5570849.0,1628.4964527784375,8.372951,95.39341682333333,98.63533419,37.57,37.57,37.57,,8.372951,30.677,58.926,,1.7538
Denmark,2012,43509.613,27.8,5591917.0,1728.5511359455977,9.215573,95.39341682333333,98.63533419,37.57,37.57,37.57,,9.215573,30.742,57.591,,1.7235
Denmark,2013,43743.61,28.5,5615333.0,1810.1207947944383,8.374652,95.39341682333333,98.63533419,37.57,37.57,37.57,,8.374652,30.824,55.718,,1.6696
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,7.8,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,8.4,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,4.8,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,5.0,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,6.7,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,5.7,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,4.9,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,10.0,8.690967,30.89,56.567,,1.6876
Denmark,2014,44215.633,28.4,5643794.0,1883.098771691813,8.690967,95.22259058888888,98.63533419,37.57,37.57,37.57,6.3,8.690967,30.89,56.567,,1.6876
Denmark,2015,44940.887,28.2,5683701.0,1977.7899837504176,7.592195,95.2713781288889,98.63533419,37.57,37.57,37.57,,7.592195,30.94,57.806,,1.7125
Denmark,2016,46018.984,28.2,5728201.0,1984.3957811388448,7.8519773,95.2713781288889,98.63533419,37.57,37.57,37.57,,7.8519773,30.98,60.927,,1.7747
Denmark,2017,47022.01,28.7,5765168.0,2135.747573033909,7.645037,95.34460689555556,98.63533419,37.57,37.57,37.57,,7.645037,31.041,61.052,,1.7489
Denmark,2018,47717.457,28.2,5793824.0,2140.073243418376,7.574025,95.10523234777776,97.3864252,37.57,37.57,37.57,,7.574025,31.185,61.189,,1.7265
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,9.5,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,8.7,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,17.3,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,8.2,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,4.7,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,8.9,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,4.8,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,14.6,7.6427174,31.282,61.068,,1.6976
Denmark,2019,48238.656,27.7,5814618.0,2309.4642847523314,7.6427174,95.03897816888887,97.3864252,37.57,37.57,37.57,8.4,7.6427174,31.282,61.068,,1.6976
Denmark,2020,47171.086,27.5,5831530.0,2337.5688390727964,7.758476,94.80949702777778,97.3864252,37.57,37.57,37.57,,7.758476,31.432,60.993,,1.6777
Denmark,2021,49258.75,28.3,5856776.0,2402.1418760587085,6.6703506,94.80949702777778,97.3864252,37.57,37.57,37.57,,6.6703506,31.584,63.475,,1.7299
Denmark,2022,50689.68,29.3,5902904.0,2404.184597423401,7.454233,94.80949702777778,97.3864252,37.57,37.57,37.57,,7.454233,31.623,58.095,,1.5593
Finland,2006,38160.703,28.0,5266247.0,1183.3240487981525,17.631956,95.44824681666668,98.90470587,45.34,45.34,45.34,,17.631956,29.969,58.58,,1.8322
Finland,2007,39998.523,28.3,5288710.0,1178.6141567199345,16.343563,95.421821308,98.90470587,45.34,45.34,45.34,,16.343563,30.017,58.547,,1.8277
Finland,2008,40129.652,27.8,5313377.0,1222.6420096359568,17.139229,94.81340945666666,98.90470587,45.34,45.34,45.34,,17.139229,30.073,59.278,,1.8429
Finland,2009,36662.613,27.5,5338856.0,1255.382223526556,17.061079,94.85140810285716,98.90470587,45.34,45.34,45.34,,17.061079,30.111,60.151,5.2780743,1.8599
Finland,2009,36662.613,27.5,5338856.0,1255.382223526556,17.061079,94.85140810285716,98.90470587,45.34,45.34,45.34,,17.061079,30.111,60.151,8.8361784,1.8599
Finland,2009,36662.613,27.5,5338856.0,1255.382223526556,17.061079,94.85140810285716,98.90470587,45.34,45.34,45.34,,17.061079,30.111,60.151,5.5807193,1.8599
