ISO3,Country,One_Person_HH_Perc,GDP_Per_Capita
FIN,Finland,41.01,40701.465
NOR,Norway,38.64,88366.22
DEU,Germany,37.95333333333334,46647.793
MCO,,37.69,
MTQ,,35.51,
LIE,,34.650000000000006,
GLP,,34.52,
TCA,,33.59,
NLD,Netherlands,33.545,49669.867
CYM,,32.57,
AUT,Austria,32.263333333333335,43792.855
BEL,Belgium,31.73,41872.395
BMU,,31.675000000000004,
LVA,Latvia,31.64,27220.303
CHE,Switzerland,31.078,63323.254
LUX,Luxembourg,31.055,55484.777
JPN,Japan,30.995,38268.79
SPM,,30.95,
IMN,,30.07,
EST,Estonia,30.066666666666663,30067.395
GBR,United Kingdom,30.05,38406.53
LTU,Lithuania,29.655,30863.32
MAF,,29.33,
SXM,,29.18,
FRA,France,28.45090909090909,39065.71
CZE,Czechia,28.1575,32247.395
ITA,Italy,28.058333333333334,36224.293
CAN,Canada,27.148000000000003,45529.645
BLR,Belarus,26.98125,18699.799
LCA,St. Lucia,26.79,10452.165
BRB,Barbados,26.34,11545.848
REU,,26.3,
SHN,,26.03,
BGR,Bulgaria,25.8825,20592.455
KOR,Korea,25.7075,41320.9
SVN,Slovenia,25.606,32673.762
HUN,Hungary,24.406666666666663,29451.855
AUS,Australia,24.35,52049.43
RUS,Russian Federation,24.075,25437.107
USA,United States,24.006,58487.465
BLM,,23.43,
JAM,Jamaica,22.71,7481.6685
HRV,Croatia,22.675,26986.752
NZL,New Zealand,22.656666666666663,38250.12
GUF,,22.61,
UKR,Ukraine,21.6975,7749.0996
BWA,Botswana,21.56714285714286,16351.91
ABW,,21.37,
POL,Poland,21.37,32468.402
MDA,Moldova,21.012,6674.871
SVK,Slovak Republic,20.89333333333333,27519.287
GAB,Gabon,20.855,15720.901
ZAF,South Africa,20.836666666666662,11415.887
ROU,Romania,20.2975,26197.904
IRL,Ireland,20.283125,60257.082
GHA,Ghana,19.693846153846152,4242.4106
GRC,Greece,19.6525,25283.906
SRB,Serbia,19.566666666666663,17097.686
SWZ,Eswatini,19.522,8522.45
ESP,Spain,19.1,34123.387
MLT,Malta,18.3875,34496.34
ISR,Israel,18.288,36648.918
CYP,Cyprus,17.9025,31523.498
BHS,,17.73,
URY,Uruguay,17.7075,20181.94
NCL,,17.45,
HKG,,17.286666666666665,
PRT,Portugal,17.23125,28992.059
PLW,,17.1,
PRI,,16.83142857142857,
TTO,Trinidad and Tobago,16.387777777777778,25773.006
CUB,Cuba,16.058,7648.704
ARG,Argentina,15.882857142857144,18292.318
GEO,Georgia,15.8675,14360.359
LSO,Lesotho,15.734285714285717,2312.9583
KEN,Kenya,15.443846153846154,3403.9238
BLZ,,15.333333333333334,
SYC,Seychelles,15.33,31055.39
COK,,15.26,
MNE,Montenegro,15.1775,20941.805
MAC,,15.175,
STP,São Tomé and Principe,14.962,3751.6428
CMR,Cameroon,14.72,2812.2148
MYT,,14.33,
GNQ,Equatorial Guinea,14.14,22707.22
TGO,Togo,13.93888888888889,1586.5889
KAZ,Kazakhstan,13.938333333333333,26491.857
SUR,,13.656666666666666,
NGA,Nigeria,13.328125,5070.4927
BIH,Bosnia and Herzegovina,13.233333333333334,12142.863
CIV,Côte d'Ivoire,13.182,4011.7122
PYF,,13.18,
PAN,Panama,12.722857142857142,23557.02
NAM,Namibia,12.49,7979.328
DOM,Dominican Republic,12.338333333333331,17713.52
SGP,Singapore,12.166666666666666,80320.086
GUY,,12.095,
BOL,"Bolivia, Plurinational State of",12.094444444444443,6481.3906
ZWE,Zimbabwe,12.02888888888889,1703.5294
ARM,Armenia,12.02375,13837.577
COG,"Congo, Republic of",12.0025,4187.507
UGA,Uganda,12.000833333333333,2122.0278
PER,Peru,10.986923076923077,12762.967
BEN,Benin,10.98,2477.0903
THA,Thailand,10.847777777777775,16421.072
CHL,Chile,10.695,22740.72
OMN,Oman,10.62,47988.65
LBR,Liberia,9.756666666666666,811.2146
TZA,Tanzania,9.424166666666666,3057.3286
CHN,China,9.3575,19238.18
ECU,Ecuador,9.268333333333333,10124.076
GMB,"Gambia, The",9.192,2010.5322
MOZ,Mozambique,9.0525,1087.836
HTI,Haiti,8.911428571428571,1546.4222
CAF,Central African Republic,8.72,596.393
CRI,Costa Rica,8.638571428571428,15496.82
TUR,Türkiye,8.354999999999999,27361.988
KGZ,Kyrgyz Republic,8.325,5304.841
SLV,El Salvador,8.276666666666667,9218.905
COL,Colombia,8.19090909090909,14468.964
TKL,,8.13,
MUS,Mauritius,8.105,20643.094
TCD,Chad,7.95,1393.5635
MWI,Malawi,7.938333333333333,1190.0509
MYS,Malaysia,7.884,26628.707
PRY,Paraguay,7.877142857142857,8762.771
BTN,,7.66,
MKD,North Macedonia,7.396666666666666,14050.995
AGO,Angola,7.35,6118.905
RWA,Rwanda,7.324285714285715,2198.0662
BRA,Brazil,7.285555555555555,14640.076
VEN,"Venezuela, República Bolivariana de",7.228,5267.1753
BRN,,7.22,
MEX,Mexico,7.042222222222223,16235.455
QAT,Qatar,6.98,149171.11
TON,,6.94,
TUV,,6.92,
ETH,Ethiopia,6.7925,2289.409
ZMB,Zambia,6.640909090909091,3342.4214
AZE,Azerbaijan,6.4175,17682.94
ALB,Albania,6.39,12978.101
MDG,Madagascar,6.244285714285715,1367.0938
IRN,"Iran, Islamic Republic of",6.210000000000001,18473.066
HND,Honduras,6.188333333333333,5186.5303
MNG,Mongolia,6.111666666666667,13442.906
PNG,,6.07,
MAR,Morocco,6.001666666666666,8400.127
COD,"Congo, Democratic Republic of",5.928,844.172
IND,India,5.700833333333333,7765.593
VNM,Viet Nam,5.668333333333333,8050.359
IDN,Indonesia,5.66,12801.671
TUN,Tunisia,5.65,10913.846
EGY,"Egypt, Arab Republic of",5.622727272727273,13205.406
TLS,,5.613333333333333,
