ISO3,Year,Urban_Population_Percent
ABW,1950,1.823
ABW,1950,17.642
ABW,1950,0.0
ABW,1950,57.74
ABW,1950,22.796
ABW,1950,100.0
ABW,1951,1.767
ABW,1951,17.265
ABW,1951,0.0
ABW,1951,58.019
ABW,1951,22.949
ABW,1951,100.0
ABW,1952,1.715
ABW,1952,16.908
ABW,1952,0.0
ABW,1952,58.284
ABW,1952,23.094
ABW,1952,100.0
ABW,1953,1.665
ABW,1953,16.569
ABW,1953,0.0
ABW,1953,58.535
ABW,1953,23.231
ABW,1953,100.0
ABW,1954,1.618
ABW,1954,16.248
ABW,1954,0.0
ABW,1954,58.773
ABW,1954,23.361
ABW,1954,100.0
ABW,1955,1.574
ABW,1955,15.942
ABW,1955,0.0
ABW,1955,58.999
ABW,1955,23.485
ABW,1955,100.0
ABW,1956,1.527
ABW,1956,15.606
ABW,1956,0.0
ABW,1956,59.246
ABW,1956,23.621
ABW,1956,100.0
ABW,1957,1.482
ABW,1957,15.287
ABW,1957,0.0
ABW,1957,59.481
ABW,1957,23.75
ABW,1957,100.0
ABW,1958,1.44
ABW,1958,14.982
ABW,1958,0.0
ABW,1958,59.705
ABW,1958,23.874
ABW,1958,100.0
ABW,1959,1.399
ABW,1959,14.691
ABW,1959,0.0
ABW,1959,59.918
ABW,1959,23.991
ABW,1959,100.0
ABW,1960,1.361
ABW,1960,14.414
ABW,1960,0.0
ABW,1960,60.122
ABW,1960,24.104
ABW,1960,100.0
ABW,1961,1.339
ABW,1961,14.267
ABW,1961,0.0
ABW,1961,60.268
ABW,1961,24.126
ABW,1961,100.0
ABW,1962,1.318
ABW,1962,14.124
ABW,1962,0.0
ABW,1962,60.41
ABW,1962,24.148
ABW,1962,100.0
ABW,1963,1.297
ABW,1963,13.984
ABW,1963,0.0
ABW,1963,60.549
ABW,1963,24.169
ABW,1963,100.0
ABW,1964,1.277
ABW,1964,13.848
ABW,1964,0.0
ABW,1964,60.685
ABW,1964,24.189
ABW,1964,100.0
ABW,1965,1.258
ABW,1965,13.714
ABW,1965,0.0
ABW,1965,60.818
ABW,1965,24.21
ABW,1965,100.0
ABW,1966,1.248
ABW,1966,13.667
ABW,1966,0.0
ABW,1966,60.911
ABW,1966,24.174
ABW,1966,100.0
ABW,1967,1.239
ABW,1967,13.619
ABW,1967,0.0
ABW,1967,61.003
ABW,1967,24.138
ABW,1967,100.0
ABW,1968,1.23
ABW,1968,13.572
ABW,1968,0.0
ABW,1968,61.095
ABW,1968,24.103
ABW,1968,100.0
ABW,1969,1.221
ABW,1969,13.525
ABW,1969,0.0
ABW,1969,61.186
ABW,1969,24.068
ABW,1969,100.0
ABW,1970,1.212
ABW,1970,13.478
ABW,1970,0.0
ABW,1970,61.277
ABW,1970,24.033
ABW,1970,100.0
ABW,1971,1.202
ABW,1971,13.418
